Appliances,Lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint
60,30,19.89,47.5966666667,19.2,44.79,19.79,44.73,19,45.5666666667,17.1666666667,55.2,7.0266666667,84.2566666667,17.2,41.6266666667,18.2,48.9,17.0333333333,45.53,6.6,733.5,92,7,63,5.3
60,30,19.89,46.6933333333,19.2,44.7225,19.79,44.79,19,45.9925,17.1666666667,55.2,6.8333333333,84.0633333333,17.2,41.56,18.2,48.8633333333,17.0666666667,45.56,6.4833333333,733.6,92,6.6666666667,59.1666666667,5.2
50,30,19.89,46.3,19.2,44.6266666667,19.79,44.9333333333,18.9266666667,45.89,17.1666666667,55.09,6.56,83.1566666667,17.2,41.4333333333,18.2,48.73,17,45.5,6.3666666667,733.7,92,6.3333333333,55.3333333333,5.1
50,40,19.89,46.0666666667,19.2,44.59,19.79,45,18.89,45.7233333333,17.1666666667,55.09,6.4333333333,83.4233333333,17.1333333333,41.29,18.1,48.59,17,45.4,6.25,733.8,92,6,51.5,5
60,40,19.89,46.3333333333,19.2,44.53,19.79,45,18.89,45.53,17.2,55.09,6.3666666667,84.8933333333,17.2,41.23,18.1,48.59,17,45.4,6.1333333333,733.9,92,5.6666666667,47.6666666667,4.9
50,40,19.89,46.0266666667,19.2,44.5,19.79,44.9333333333,18.89,45.73,17.1333333333,55.03,6.3,85.7666666667,17.1333333333,41.26,18.1,48.59,17,45.29,6.0166666667,734,92,5.3333333333,43.8333333333,4.8
60,50,19.89,45.7666666667,19.2,44.5,19.79,44.9,18.89,45.79,17.1,54.9666666667,6.2633333333,86.09,17.1333333333,41.2,18.1,48.59,17,45.29,5.9,734.1,92,5,40,4.7
60,50,19.8566666667,45.56,19.2,44.5,19.73,44.9,18.89,45.8633333333,17.1,54.9,6.19,86.4233333333,17.1,41.2,18.1,48.59,17,45.29,5.9166666667,734.1666666667,91.8333333333,5.1666666667,40,4.6833333333
60,40,19.79,45.5975,19.2,44.4333333333,19.73,44.79,18.89,45.79,17.1666666667,55,6.1233333333,87.2266666667,17.1666666667,41.4,18.1,48.59,17,45.29,5.9333333333,734.2333333333,91.6666666667,5.3333333333,40,4.6666666667
70,40,19.8566666667,46.09,19.23,44.4,19.79,44.8633333333,18.89,46.0966666667,17.1,55,6.19,87.6266666667,17.2,41.5,18.1,48.59,17,45.29,5.95,734.3,91.5,5.5,40,4.65
230,70,19.9266666667,45.8633333333,19.3566666667,44.4,19.79,44.9,18.89,46.43,17.1,55,6.19,87.8666666667,17.2475,42.7175,18.1,48.59,17,45.29,5.9666666667,734.3666666667,91.3333333333,5.6666666667,40,4.6333333333
580,60,20.0666666667,46.3966666667,19.4266666667,44.4,19.79,44.8266666667,19,46.43,17.1,55,6.1233333333,87.9933333333,17.53,44.2633333333,18.0666666667,48.6333333333,16.89,45.29,5.9833333333,734.4333333333,91.1666666667,5.8333333333,40,4.6166666667
430,50,20.1333333333,48,19.5666666667,44.4,19.89,44.9,19,46.3633333333,17.1,55.09,6.1233333333,88.59,17.8233333333,45.4933333333,18.0666666667,48.56,16.9633333333,45.29,6,734.5,91,6,40,4.6
250,40,20.26,52.7266666667,19.73,45.1,19.89,45.4933333333,19,47.2233333333,17.1,55.1633333333,6.0675,88.215,17.9633333333,46.16,18.0333333333,48.6666666667,16.89,45.3266666667,6,734.6166666667,90.5,6,40,4.5166666667
100,10,20.4266666667,55.8933333333,19.8566666667,45.8333333333,20.0333333333,47.5266666667,19,48.6966666667,17.1,55.5,5.9,88.1566666667,17.9633333333,45.5333333333,18.1,49.1933333333,16.89,45.345,6,734.7333333333,90,6,40,4.4333333333
100,10,20.5666666667,53.8933333333,20.0333333333,46.7566666667,20.1,48.4666666667,19,48.49,17.15,56.0425,5.8,88.3666666667,17.89,44.9266666667,18.15,49.2,16.89,45.3266666667,6,734.85,89.5,6,40,4.35
90,10,20.73,52.66,20.1666666667,47.2233333333,20.2,48.53,18.9266666667,48.1566666667,17.1666666667,56.49,5.7266666667,88.16,17.76,44.2666666667,18.23,49.6333333333,16.89,45.29,6,734.9666666667,89,6,40,4.2666666667
70,30,20.8566666667,53.66,20.2,47.0566666667,20.2,48.4475,18.89,47.9633333333,17.2,56.9333333333,5.5266666667,87.3,17.7,43.7266666667,18.3566666667,50.0266666667,16.89,45.29,6,735.0833333333,88.5,6,40,4.1833333333
80,30,20.89,51.1933333333,20.2,46.33,20.2,48.1933333333,18.9633333333,48.63,17.2,57.06,5.3333333333,86.76,17.6666666667,43.16,18.5333333333,50.2,16.89,45.2,6,735.2,88,6,40,4.1
140,40,20.89,49.8,20.2,46.0266666667,20.1666666667,47.6333333333,19.0333333333,49.5,17.5933333333,70.7266666667,5.3333333333,87.4633333333,17.6,42.6933333333,18.6666666667,50.26,16.89,45.2,6,735.2333333333,87.8333333333,6,40,4.0666666667
120,20,20.89,48.4333333333,20.2,45.7225,20.1666666667,47.3,19.175,49.9475,18.0666666667,79,5.4666666667,87.53,17.6,42.3333333333,18.73,50.23,16.89,45.1266666667,6,735.2666666667,87.6666666667,6,40,4.0333333333
190,40,20.9633333333,47.6333333333,20.26,45.53,20.2,47.0266666667,19.26,49.6966666667,17.6666666667,79.73,5.5,86.9566666667,17.5333333333,42.0666666667,18.8566666667,50.29,16.89,45.1266666667,6,735.3,87.5,6,40,4
110,40,21.0333333333,47.0633333333,20.29,45.2233333333,20.26,46.8266666667,19.3233333333,49.1666666667,17.6,79.2566666667,5.56,86.5633333333,17.6333333333,43.6333333333,18.89,50.1633333333,16.89,45.06,6,735.3333333333,87.3333333333,6,40,3.9666666667
110,40,21.1,46.5966666667,20.3566666667,44.9633333333,20.29,46.6333333333,19.39,48.4266666667,17.5666666667,78.3933333333,5.6233333333,86.33,17.76,43.6333333333,18.9633333333,50.03,16.89,45,6,735.3666666667,87.1666666667,6,40,3.9333333333
110,30,21.1333333333,46.06,20.4266666667,44.76,20.29,46.4333333333,19.39,48.1933333333,17.76,82.46,5.7633333333,86.0633333333,17.8566666667,43.46,19,49.76,16.89,44.9666666667,6,735.4,87,6,40,3.9
110,20,21.2,45.8,20.5,44.76,20.39,46.2233333333,19.39,47.8,18.3566666667,82.59,5.6566666667,85.59,17.79,43.4,19.0666666667,49.7,16.89,44.9,5.9333333333,735.4666666667,87.1666666667,6,40,3.8666666667
100,30,21.29,45.9,20.5333333333,45.09,20.39,46.09,19.39,47.56,18.3566666667,70.99,5.53,85.73,17.89,43.79,19.1333333333,49.6333333333,16.89,44.79,5.8666666667,735.5333333333,87.3333333333,6,40,3.8333333333
100,20,21.3566666667,45.8266666667,20.6666666667,45.1633333333,20.39,46.09,19.39,47.5,18.6,62.43,5.4333333333,86.3266666667,17.89,43.79,19.2,49.4333333333,16.89,44.79,5.8,735.6,87.5,6,40,3.8
100,20,21.39,45.69,20.7,45.06,20.39,46.09,19.4266666667,47.9933333333,18.6666666667,59.03,5.5,86.6,17.89,43.7,19.23,49.4,16.89,44.7,5.7333333333,735.6666666667,87.6666666667,6,40,3.7666666667
100,20,21.5,45.3333333333,20.7,44.9333333333,20.39,46.06,19.5666666667,48.4666666667,18.8233333333,56.7266666667,5.59,86.4666666667,17.865,43.57,19.29,49.3266666667,16.89,44.7,5.6666666667,735.7333333333,87.8333333333,6,40,3.7333333333
110,20,21.5,45.1266666667,20.79,44.6333333333,20.39,46,19.6666666667,48.0933333333,18.9633333333,55.3333333333,5.59,86.325,17.79,43.4,19.29,49.1633333333,16.8233333333,44.59,5.6,735.8,88,6,40,3.7
400,20,21.5333333333,44.9666666667,20.79,44.36,20.4266666667,45.9333333333,19.6,47.5,19.0333333333,54.0933333333,5.6566666667,86.2266666667,17.79,43.2233333333,19.3566666667,49.03,16.8233333333,44.53,5.65,735.8833333333,87.8333333333,6.1666666667,40,3.7166666667
400,20,21.6,44.7666666667,20.89,44.2233333333,20.5,45.9333333333,19.6966666667,47.6266666667,19.1,53.3666666667,5.8333333333,85.7666666667,17.79,43.03,19.39,48.8633333333,16.89,44.59,5.7,735.9666666667,87.6666666667,6.3333333333,40,3.7333333333
390,30,21.6,44.56,20.9633333333,43.9633333333,20.5,45.79,20.0966666667,47.5666666667,19.1583333333,52.4725,5.9,85.0333333333,17.79,42.76,19.39,48.8633333333,16.89,44.5225,5.75,736.05,87.5,6.5,40,3.75
240,20,21.6,44.36,21,43.8333333333,20.5,45.73,20.5966666667,47.2233333333,19.2,51.99,6,84.1266666667,17.79,42.6266666667,19.34,48.95,16.8233333333,44.4333333333,5.8,736.1333333333,87.3333333333,6.6666666667,40,3.7666666667
60,20,21.6,44.2,21,43.7,20.5,45.59,20.9966666667,47.03,19.2225,51.52,6,84.06,17.7,42.6266666667,19.29,49.23,16.89,44.5,5.85,736.2166666667,87.1666666667,6.8333333333,40,3.7833333333
60,20,21.6,44.2,21,43.59,20.4175,45.545,21.1666666667,46.5266666667,19.29,51.23,5.9666666667,84.79,17.7,42.76,19.3566666667,49.43,16.89,44.5,5.9,736.3,87,7,40,3.8
60,20,21.6,44.2,21,43.59,20.39,45.6633333333,21.0333333333,46.4,19.29,51.06,5.9,85.5966666667,17.7,43.03,19.39,49.89,16.89,45.0666666667,5.8,736.4,87.8333333333,6.8333333333,37,3.85
50,10,21.6,44.2,21,43.7,20.29,45.73,20.9633333333,46.4333333333,19.29,50.9333333333,5.7633333333,86.26,17.7,43.1633333333,19.39,50.1633333333,16.89,45.26,5.7,736.5,88.6666666667,6.6666666667,34,3.9
70,20,21.5,44.23,20.9266666667,43.76,20.29,45.79,20.865,46.5675,19.29,50.8633333333,5.6233333333,86.5933333333,17.7,43.4,19.39,50.4633333333,16.89,45.4333333333,5.6,736.6,89.5,6.5,31,3.95
60,20,21.5,44.3633333333,20.89,43.845,20.29,45.79,20.73,46.59,19.29,50.79,5.59,87.4966666667,17.7,43.4666666667,19.39,50.7233333333,16.89,45.56,5.5,736.7,90.3333333333,6.3333333333,28,4
40,20,21.39,44.4333333333,20.79,43.79,20.23,45.6566666667,20.7,46.79,19.2,50.6633333333,5.59,87.8966666667,17.7,43.6266666667,19.39,50.9633333333,16.89,45.6266666667,5.4,736.8,91.1666666667,6.1666666667,25,4.05
40,10,21.39,44.56,20.79,43.8633333333,20.2,45.6633333333,20.6333333333,46.79,19.2,50.53,5.59,88.6333333333,17.7,43.76,19.39,51.1633333333,16.89,45.7,5.3,736.9,92,6,22,4.1
30,20,21.29,44.8266666667,20.7,44,20.2,45.59,20.5666666667,46.9333333333,19.2,50.5,5.53,89.0266666667,17.7,43.9333333333,19.4633333333,51.5,16.89,45.79,5.2666666667,737,92,6,25,4.0666666667
40,20,21.29,44.9666666667,20.6333333333,44,20.1666666667,45.5,20.5,47.1333333333,19.2,50.4333333333,5.53,89.4,17.76,44.3333333333,19.39,51.56,16.89,45.8633333333,5.2333333333,737.1,92,6,28,4.0333333333
50,20,21.26,45.09,20.6,44.03,20.1,45.5,20.5,47.23,19.1666666667,50.3633333333,5.53,89.1933333333,17.79,44.9633333333,19.39,51.86,16.89,45.9,5.2,737.2,92,6,31,4
310,10,21.2,45.09,20.6,44.09,20.1,45.5,20.4266666667,47.23,19.1,50.29,5.4,89.4,17.79,45.2233333333,19.39,52,16.89,45.9666666667,5.1666666667,737.3,92,6,34,3.9666666667
380,20,21.1666666667,45.23,20.5,44.1266666667,20.1,45.5,20.46,47.36,19.0666666667,50.26,5.2,88.99,17.79,45.3266666667,19.3566666667,52.09,16.89,46.03,5.1333333333,737.4,92,6,37,3.9333333333
380,20,21.075,45.3725,20.5,44.2,20.1,45.53,20.7933333333,47.56,19,50.1266666667,4.8666666667,89.0633333333,17.79,45.425,19.29,52.1633333333,16.89,46.09,5.1,737.5,92,6,40,3.9
370,20,21,45.4,20.39,44.2,20.1,45.59,21.2633333333,47.4666666667,19,50.09,4.9333333333,91.16,17.79,45.56,19.29,52.5,16.89,46.2,5.1166666667,737.6333333333,92,5.8333333333,40,3.9166666667
120,10,21,45.59,20.39,44.26,20.1,45.59,21.5966666667,47.4,19,50.03,5,91.4333333333,17.79,45.73,19.23,52.9,16.89,46.2,5.1333333333,737.7666666667,92,5.6666666667,40,3.9333333333
50,0,20.9266666667,45.59,20.29,44.29,20.1666666667,45.53,21.89,46.9666666667,19,50.03,4.8666666667,91.26,17.79,45.8633333333,19.29,53.5,16.89,46.29,5.15,737.9,92,5.5,40,3.95
40,0,20.89,45.6666666667,20.23,44.29,20.1333333333,45.5,21.8233333333,46.2266666667,18.9266666667,50.09,4.7266666667,91.5933333333,17.79,45.8266666667,19.29,53.96,16.89,46.4333333333,5.1666666667,738.0333333333,92,5.3333333333,40,3.9666666667
50,0,20.89,46.06,20.2,44.4,20.2,45.5,21.6666666667,46.06,18.89,50.09,4.4666666667,91.76,17.79,45.9666666667,19.29,54.4633333333,16.89,46.6333333333,5.1833333333,738.1666666667,92,5.1666666667,40,3.9833333333
40,0,20.79,46.2,20.2,44.4666666667,20.1666666667,45.5,21.5333333333,45.9333333333,18.89,50.1725,4.3333333333,91.76,17.79,46,19.2225,54.7225,16.89,46.8266666667,5.2,738.3,92,5,40,4
50,0,20.79,46.2,20.1,44.53,20.125,45.425,21.3566666667,45.9,18.89,50.2,4.1566666667,91.8333333333,17.79,46,19.2,54.9666666667,16.9633333333,46.9666666667,5.1333333333,738.4,92,4.8333333333,40,3.9333333333
50,0,20.7,46.26,20.1,44.59,20.1333333333,45.4,21.23,45.9,18.79,50.09,4.1566666667,92.5666666667,17.89,46,19.2,54.9666666667,17,47.23,5.0666666667,738.5,92,4.6666666667,40,3.8666666667
50,0,20.7,46.2,20,44.4333333333,20.2,45.5,21.0666666667,45.9,18.79,50.09,4.3333333333,93.53,17.89,46.06,19.2,54.9,17,47.3633333333,5,738.6,92,4.5,40,3.8
40,0,20.6,46.2,20,44.5,20.2,45.5,20.9266666667,45.9,18.79,50.09,4.3333333333,93.3233333333,17.89,46.09,19.2,54.8633333333,17,47.53,4.9333333333,738.7,92,4.3333333333,40,3.7333333333
40,0,20.6,46.1266666667,20,44.5,20.2,45.4,20.745,45.9,18.73,50.09,4.19,93.1266666667,17.8233333333,45.9633333333,19.1333333333,54.79,17,47.6633333333,4.8666666667,738.8,92,4.1666666667,40,3.6666666667
30,0,20.5666666667,46.0666666667,19.89,44.59,20.2,45.4,20.6666666667,46,18.7,50.09,4.0633333333,92.8666666667,17.8566666667,45.9666666667,19.2,54.9,17,47.8266666667,4.8,738.9,92,4,40,3.6
20,0,20.5,46.2,19.8233333333,44.53,20.29,45.4666666667,20.5333333333,46,18.7,50.09,3.8633333333,92.9666666667,17.8566666667,45.9666666667,19.2,54.9666666667,17,47.9,4.8166666667,739.0166666667,92.1666666667,4.3333333333,40,3.6333333333
20,0,20.5,46.29,19.79,44.53,20.29,45.4,20.39,46.03,18.7,50.09,3.79,93.0933333333,17.89,46.2,19.2,55.09,17,48.03,4.8333333333,739.1333333333,92.3333333333,4.6666666667,40,3.6666666667
40,0,20.4266666667,46.23,19.79,44.53,20.2,45.4,20.39,46.1633333333,18.6333333333,50.03,3.895,94.045,17.89,46.2,19.2,55.03,17,48.09,4.85,739.25,92.5,5,40,3.7
50,0,20.39,46.29,19.76,44.59,20.2,45.4,20.29,46.2,18.6,50,4.19,94.6566666667,17.89,46.2,19.2,54.8633333333,17.0666666667,48.29,4.8666666667,739.3666666667,92.6666666667,5.3333333333,40,3.7333333333
50,0,20.39,46.3633333333,19.7,44.59,20.2,45.5,20.23,46.26,18.6,50,4.2633333333,94.7966666667,17.89,46.1266666667,19.2,54.73,17.0666666667,48.3633333333,4.8833333333,739.4833333333,92.8333333333,5.6666666667,40,3.7666666667
40,0,20.29,46.5,19.7,44.7,20.26,45.5,20.1,46.29,18.6,50,4.4633333333,95.03,17.89,46.09,19.1,54.56,17.0333333333,48.4633333333,4.9,739.6,93,6,40,3.8
50,0,20.29,46.545,19.6333333333,44.6266666667,20.29,45.5,20.0333333333,46.29,18.5333333333,50,4.59,95.03,17.89,45.92,19.1,54.5,17.0333333333,48.59,4.9166666667,739.65,92.6666666667,5.8333333333,40,3.7666666667
40,0,20.23,46.5,19.6,44.59,20.29,45.5,20,46.4,18.5,50,4.7266666667,94.8666666667,17.89,45.73,19.1,54.5,17.0333333333,48.7666666667,4.9333333333,739.7,92.3333333333,5.6666666667,40,3.7333333333
40,0,20.2,46.4333333333,19.6,44.59,20.29,45.5,19.9266666667,46.4666666667,18.5,50,4.8,94.7266666667,17.89,45.7,19.1,54.5,17.0333333333,48.9,4.95,739.75,92,5.5,40,3.7
40,0,20.2,46.56,19.5666666667,44.7,20.29,45.56,19.8566666667,46.4666666667,18.5,50,4.8,94.4933333333,17.89,45.7,19.1,54.4,17.1,49.045,4.9666666667,739.8,91.6666666667,5.3333333333,40,3.6666666667
60,0,20.1666666667,46.3633333333,19.5,44.7,20.29,45.59,19.79,46.4666666667,18.5,50,4.8,94.2266666667,17.89,45.59,19.1,54.4,17.1,49.2,4.9833333333,739.85,91.3333333333,5.1666666667,40,3.6333333333
50,0,20.1,46.3633333333,19.5,44.79,20.29,45.59,19.76,46.59,18.5,50,4.8,94.1266666667,17.89,45.6633333333,19.1,54.29,17.1,49.26,5,739.9,91,5,40,3.6
50,0,20.1,46.5,19.4266666667,44.73,20.29,45.59,19.7,46.6633333333,18.4725,49.975,4.8,94,17.89,45.59,19.1,54.23,17.1,49.29,4.9833333333,739.9666666667,91.6666666667,4.8333333333,40,3.6833333333
40,0,20.0333333333,46.36,19.39,44.73,20.29,45.59,19.6666666667,46.6633333333,18.39,49.9,4.7633333333,93.5633333333,17.89,45.59,19.05,54.045,17.1,49.3633333333,4.9666666667,740.0333333333,92.3333333333,4.6666666667,40,3.7666666667
40,0,20,46.29,19.39,44.79,20.3566666667,45.59,19.6,46.59,18.39,49.9,4.7633333333,94.0233333333,17.89,45.6266666667,19,54,17.1,49.4333333333,4.95,740.1,93,4.5,40,3.85
40,0,20,46.29,19.39,44.79,20.39,45.59,19.6,46.6266666667,18.39,49.9,4.8333333333,94.7266666667,17.89,45.6266666667,19.0666666667,54,17.1,49.56,4.9333333333,740.1666666667,93.6666666667,4.3333333333,40,3.9333333333
40,0,20,46.23,19.39,44.79,20.3233333333,45.59,19.6,46.7,18.39,49.9,4.8333333333,95,17.89,45.59,19.1,53.9,17.1,49.6266666667,4.9166666667,740.2333333333,94.3333333333,4.1666666667,40,4.0166666667
50,0,19.9266666667,46.23,19.29,44.9,20.3233333333,45.59,19.5,46.7,18.39,49.9,4.9,95.53,17.89,45.7233333333,19.0333333333,53.8266666667,17.1,49.7,4.9,740.3,95,4,40,4.1
70,10,19.89,46.23,19.29,44.925,20.3233333333,45.59,19.5,46.7,18.3566666667,49.9333333333,4.9975,95.82,17.89,45.9,19,53.79,17.1,49.8266666667,4.9333333333,740.4333333333,94.6666666667,4.1666666667,38.1666666667,4.1
40,0,19.89,46.43,19.29,45,20.29,45.59,19.4266666667,46.7,18.29,50,5.09,96.03,17.89,45.9666666667,19,53.79,17.1,49.9666666667,4.9666666667,740.5666666667,94.3333333333,4.3333333333,36.3333333333,4.1
30,0,19.89,46.6266666667,19.29,45.1266666667,20.29,45.59,19.39,46.7,18.29,50.1266666667,5,95.9,17.89,45.9,19,53.76,17.1333333333,50,5,740.7,94,4.5,34.5,4.1
20,10,19.89,46.7,19.218,45.2,20.29,45.5,19.39,46.7,18.29,50.2,5,95.9666666667,17.89,45.8266666667,19,53.7,17.2,50,5.0333333333,740.8333333333,93.6666666667,4.6666666667,32.6666666667,4.1
30,0,19.89,46.8633333333,19.2,45.245,20.29,45.4333333333,19.29,46.79,18.29,50.23,4.9666666667,95.9333333333,17.89,45.7225,19,53.875,17.2,50,5.0666666667,740.9666666667,93.3333333333,4.8333333333,30.8333333333,4.1
40,10,19.8233333333,46.8633333333,19.2,45.3633333333,20.2,45.29,19.29,46.79,18.29,50.29,4.9,95.9333333333,17.89,45.79,19,54,17.2,50,5.1,741.1,93,5,29,4.1
50,10,19.8566666667,46.93,19.2,45.4,20.2,45.29,19.29,46.79,18.29,50.4266666667,4.9333333333,96.09,17.89,45.8633333333,19,54.06,17.2,50.09,5.1,741.2166666667,92.6666666667,5,30.8333333333,4.05
